,User,Text,Date,Favorites,Retweets,Mentions,Hashtags
92,LimMaryana,"Rakyat Indonesia memang dituntut bersabar menghadapi org2 pengambil kebijakan yg tdk melalui proses berfikir Normal, harap maklum dari awal kita sudah maklumi. Dia yg mengawali dia juga yg memperingati. Jokowi Ingatkan Potensi Wabah Corona Gelombang 2 ",2020-05-30 00:49:26+00:00,0,0,,
93,johannesjoga,Wah gila sih. 1 atm. Gak transfer antarcabang aja pake mobile banking? Bonus taunan kayanya blm jelas sih hahaha. Kan lagi corona,2020-05-30 00:42:27+00:00,0,0,,
94,samskoy,Aturan Maret kemaren gua nonton Slipknot di Hammersonic Corona bangsat,2020-05-30 00:30:16+00:00,0,0,,
95,duckitubebek,thankyou corona you put us in a good opportunity for the second time . @haqitegarlaksan ,2020-05-30 00:11:45+00:00,1,1,@haqitegarlaksan,
96,edimaha233,"Bahasa Inggris nya lancar banget nih opung, omong 10 menit kaga pake liat text.. di negri taeland ada orang omong “corona Is Like your Wife” tok pake liat text ",2020-05-29 23:46:13+00:00,0,15,,
98,bestaribebes,Riset project film corona a,2020-05-29 23:17:02+00:00,0,0,,
99,SINDOnews,"Protokol Acara Pernikahan, Ibadah, Konser dan Olahraga di Tengah Corona https://nasional.sindonews.com/read/52018/15/protokol-acara-pernikahan-ibadah-konser-dan-olahraga-di-tengah-corona-1590764726 @kemendagri",2020-05-29 23:04:49+00:00,1,4,@kemendagri,
1,Ganteng86A,Yang minat.. masih tersedia. 0812-8679-4182 #infrared #thermo #corona #covid #temperature #sensor,2020-05-29 14:06:15+00:00,0,0,,#infrared #thermo #corona #covid #temperature #sensor
2,megakhristian,"Semua akan Berangsur Normal, bisa kegunung, bisa kepulau bisa pergi keluar tanpa sibuk pasang masker #NewNormal #pandemi #Corona – at Apartemen Green Pramuka City",2020-05-29 06:31:23+00:00,0,0,,#NewNormal #pandemi #Corona
3,megakhristian,Hari pertama ke Jakarta setelah 3 bulan aku dikostan saja. Biasanya disini Penuh dengan Orang menuju Kota Untul Berpulang #pandemi #corona #newnormal – at Stasiun Pasar Senen,2020-05-29 06:27:57+00:00,0,0,,#pandemi #corona #newnormal
4,djyahud,India Tango Charlie Alpha Mike Echo Foxtrot Romeo Oscar Mike Charlie Hotel India November Alpha. . Hey lil' Batman...they blame you for this plandemic. Poor little bat #bat #corona . . . . . . . #animal… https://www.instagram.com/p/CAwdCQNHD2k/?igshid=es7abtk3rtth,2020-05-29 03:42:46+00:00,0,0,,#bat #corona #animal
8,CHPStar,Gracie Fields in Walk This Way 1931. #GracieFields #Theatre #Rochdale #NYC #films #BorisJohnson #Corona #WW11 #History #Capricorns,2020-05-27 11:50:53+00:00,0,1,,#GracieFields #Theatre #Rochdale #NYC #films #BorisJohnson #Corona #WW11 #History #Capricorns
9,103popfmjakarta,"Udah kangen banget ngelive ya, guys ?! Nyanyi bareng, seru seru an, hmmmm... Semoga Corona segera ilang yaaa . . #corona #covid #TikTok #soulmatekamu #popfmjakarta @POP FM Jakarta https://www.instagram.com/p/CApoim8jjxt/?igshid=1sxnfh3h1ds0y",2020-05-26 12:08:54+00:00,1,1,,#corona #covid #TikTok #soulmatekamu #popfmjakarta
10,DHIKASUZAFREAL,siapa yg paling A.J.G? kau.. #2020 #covid19 #corona #fun #funny #tattoo,2020-05-26 07:04:40+00:00,2,19,,#covid19 #corona #fun #funny #tattoo
11,HariTriyatmo,Kenormalan baru #newnormal #covid19 #corona #normal,2020-05-25 15:02:37+00:00,0,0,,#newnormal #covid19 #corona #normal
12,indahnuria,"Alhamdulillaaaah... walaupun di tengah #covid19 #corona #pandemic dan ada begitu banyak penyesuaian yang harus dilakukan, #thefrakarsas bisa #dirumahaja dan sholat sunah Idul Fitri bersama. We always learn something… https://www.instagram.com/p/CAnJi9AgeQm/?igshid=vhs1h14jgw84",2020-05-25 12:59:21+00:00,0,0,,#covid19 #corona #pandemic #thefrakarsas #dirumahaja #dirumahaja
13,Mohan__,Sempat Download Podcast Dedy Corbuzier Tentang Wabah Virus Corona & Pandemic Virus dgn Menkes Siti Fadilah Supari (Penstop Wabah Flu Burung di Dunia dgn Mengalahkan WHO) Silahkan Simak. https://youtu.be/IbPcgxoQzxM #bebaskansitifadilah #corona,2020-05-24 22:30:54+00:00,0,0,,#bebaskansitifadilah #corona
14,rullyjohan,Lebaran Kali Ini... #lebarankaliini #diujipandemi #corona #COVIDー19 #viral #TrendingNow #Lebaran2020 #lebaran #IdulFitri #IdulFitridiRumahAja,2020-05-24 17:01:15+00:00,0,0,,#lebarankaliini #diujipandemi #corona #COVID #viral #TrendingNow #Lebaran2020 #lebaran #IdulFitri #IdulFitridiRumahAja
17,brammeswara,"GAK PAKE BASA-BASI: EDISI #KANGEN #MALL JAKARTA | #CORONA SEGERA PERGILAH KAU! . . #repost #sobatdiscuss . . Hello Sobat Discuss!!!! . . Sebelum memulai pembahasan kali ini, Sobat Discuss ingin mengucapkan *Selamat… https://www.instagram.com/p/CAkEYIghVk3/?igshid=1w3rt80nms8cj",2020-05-24 08:16:47+00:00,0,0,,#KANGEN #MALL #CORONA #repost #sobatdiscuss
18,lydialovaa,Video call sama sodara dan tante2.... . . #dirumahaja #lebarandirumahaja #sholatieddirumahaja #idulfitri1441h #socialdistancing #physicaldistancing #covid19 #corona @Perum.Pondok Hijau Legoso Ciputat https://www.instagram.com/p/CAjiZSQncOB/?igshid=yxyvyhgvn8wr,2020-05-24 03:19:29+00:00,0,0,,#dirumahaja #dirumahaja #lebarandirumahaja #sholatieddirumahaja #idulfitri1441h #socialdistancing #physicaldistancing #covid19 #corona
19,ErickMaoelana,Selamat Lebaran.. Mohon maaf lahir batin yaa.. ;) #Lebaran2020 #lebaran #Corona,2020-05-24 01:44:45+00:00,0,0,,#Lebaran2020 #lebaran #Corona
20,bowbownantampan,ied prayer against Covid-19. #idulfitri #ied #syawal #covid #covid19 #corona #birdeyeview #footage #sky #aerial #aerialvideo #discoverearth #discover #muslim #allah #allahuakbar @Taman Mini Indonesia Indah https://www.instagram.com/p/CAjSf7cAstE/?igshid=1s4vl5u4ofc8h,2020-05-24 01:01:07+00:00,0,0,,#idulfitri #ied #syawal #covid #covid19 #corona #birdeyeview #footage #sky #aerial #aerialvideo #discoverearth #discover #muslim #allah #allahuakbar
23,nurkayaitik,Mlipir dulu... #pecellele #ayamgeprek #mudik #corona #gakmudiktetapasik @Jl.Sultan Agung KM.27 Medan Satria-Pondok Ungu kota Bekasi https://www.instagram.com/p/CAfyVPFpYef/?igshid=vfb19nzllh3q,2020-05-22 16:21:46+00:00,0,0,,#pecellele #ayamgeprek #mudik #corona #gakmudiktetapasik
24,DERANSYDINAR,I don’t think #Indonesia will survive from #Corona,2020-05-22 16:18:18+00:00,0,0,,#Indonesia #Corona
25,fandiorami,"Ga bayar kost an, ngantuk tidur sini aja ach hehehehehehehe.... #relkeretaapi #krlcommuterlinejabodetabek #prank #covid19 #corona #gabisamudik #anakrantau #dilarangmudik #pasarlagirame #mallrame #bandararame… https://www.instagram.com/p/CAeW2d_JVna/?igshid=zcfqluln7lvp",2020-05-22 03:02:25+00:00,0,0,,#relkeretaapi #krlcommuterlinejabodetabek #prank #covid19 #corona #gabisamudik #anakrantau #dilarangmudik #pasarlagirame #mallrame #bandararame
26,Djskiii2,Penutup #liburan sebelum #corona menyerang #KangenBangetGakSih #dirumahsaja,2020-05-21 17:06:18+00:00,0,0,,#liburan #corona #KangenBangetGakSih #dirumahsaja #dirumahsaja
28,gussur,Nemu juga WO yang pas kala pandemi. #dirumahaja #Corona #covid #jumpropeworkout #jumprope #skipping @Rindu Alam - Puncak Pass https://www.instagram.com/p/CAcVZZZHf1l/?igshid=14ggwst9fbwhv,2020-05-21 08:11:13+00:00,0,0,,#dirumahaja #dirumahaja #Corona #covid #jumpropeworkout #jumprope #skipping
